"int","prevalence","precision","cpe","sta.cpe","fsd","sta.fsd","mip","sta.mip","stability"
"CircVolt_kV+_Com_pct-",0.104169058530962,65.122407232851,-0.00744025887847988,0,0.0681007941427567,1,-0.00755912580931728,0,0
"CircVolt_kV+_polexposure_pctl-",0.0694220919263535,65.5400084508661,-0.00753962168945144,0,0.169443517255609,1,-0.00116704071403451,0,0
"Com_pct-_tothh_Cpoly+",0.109405376890873,65.5758226992318,-0.00754808384955119,0,0.0336190856809839,1,-0.0404135360667199,0,0
"CircVolt_kV+_Ind_pct-_ResCust+",0.0656092991142532,65.9395424932077,-0.00763349852820872,0,0.0553688429189236,1,-0.00882921952205784,0,0
"CircVolt_kV+_latinx_pct-",0.0415378147542928,66.1523409853818,-0.00768303252229607,0,0.10796052524256,1,0.00813246605381224,1,0
"tothh_Cpoly+_tothh_ctot+",0.190640030768928,66.2590441243836,-0.00770774957235942,0,-0.029452108066746,0,-0.0300486370349757,0,1
"CircVolt_kV+_tothh_ctot+",0.184170105329308,66.3035864952497,-0.00771804379045626,0,0.0195473177765662,1,0.0104161777529059,1,1
"CircVolt_kV+_Length_m_ctot-",0.0575656591331574,66.3264612075456,-0.00772332496636663,0,-0.0800766252226106,0,0.0107611178764886,1,0
"CircVolt_kV+_ResCust+",0.159382585468048,66.5243149323533,-0.00776885152269924,0,0.0983246492926488,1,0.0137397059861888,1,1
"Length_m_ctot+_tothh_Cpoly+",0.088486893931696,67.2288353747777,-0.00792877079162713,0,-0.0254111614090093,0,-0.0155183543370994,0,0
"CircVolt_kV+_hhdensity_hhsqkm+",0.0873147374487983,67.9215902628099,-0.00808276032263766,0,-0.00378018663486257,0,0.0345261425655821,1,0
"Length_m+_Res_pct+_tothh_perkm+",0.0465117043536509,69.3053528806793,-0.00838106755587065,0,0.119717695277183,1,-0.0228925885657025,0,0
"Agr_pct-_tothh_Cpoly+",0.0832833660737421,71.2603944461229,-0.00878264178121269,0,0.0381793046170391,1,0.0427200878024125,1,1
"tothh_Cpoly+_tothh_perkm+",0.110849018195201,76.6214337740628,-0.00977798298229215,0,-0.0894549663401678,0,0.115256244219627,1,1
"Length_m+_tothh_Cpoly+",0.0753094099027686,82.9354967372089,-0.01078423097852,0,0.0602968458028617,1,0.194442550247264,1,0
"tothh_ctot+_tothh_pct+",0.135189345316425,84.7961612636026,-0.0110520008116828,0,-0.000902296015359294,0,0.0190402761180088,1,1
"tothh_pct+_tothh_perkm+",0.0840316425991007,97.4482362948519,-0.0126002020860736,0,0.00582983278059901,1,0.158111329687581,1,0
"CircVolt_kV+_tothh_pct+",0.0444687602477168,120.562393126104,-0.014586025458756,0,-0.115188042777771,0,0.370957406667713,1,0
